FullDate,DateKey,Day,Month,MonthName,Quarter,Year,WeekNumber
2022-01-01,20220101,1,1,January,1,2022,52
2022-02-01,20220201,1,2,February,1,2022,5
2022-03-01,20220301,1,3,March,1,2022,9
2022-04-01,20220401,1,4,April,2,2022,13
2022-05-01,20220501,1,5,May,2,2022,17
2022-06-01,20220601,1,6,June,2,2022,22
2022-07-01,20220701,1,7,July,3,2022,26
2022-08-01,20220801,1,8,August,3,2022,31
2022-09-01,20220901,1,9,September,3,2022,35
2022-10-01,20221001,1,10,October,4,2022,39
2022-11-01,20221101,1,11,November,4,2022,44
2022-12-01,20221201,1,12,December,4,2022,48
2023-01-01,20230101,1,1,January,1,2023,52
2023-02-01,20230201,1,2,February,1,2023,5
2023-03-01,20230301,1,3,March,1,2023,9
2023-04-01,20230401,1,4,April,2,2023,13
2023-05-01,20230501,1,5,May,2,2023,18
2023-06-01,20230601,1,6,June,2,2023,22
2023-07-01,20230701,1,7,July,3,2023,26
2023-08-01,20230801,1,8,August,3,2023,31
2023-09-01,20230901,1,9,September,3,2023,35
2023-10-01,20231001,1,10,October,4,2023,39
2023-11-01,20231101,1,11,November,4,2023,44
2023-12-01,20231201,1,12,December,4,2023,48
2024-01-01,20240101,1,1,January,1,2024,1
2024-02-01,20240201,1,2,February,1,2024,5
2024-03-01,20240301,1,3,March,1,2024,9
2024-04-01,20240401,1,4,April,2,2024,14
2024-05-01,20240501,1,5,May,2,2024,18
2024-06-01,20240601,1,6,June,2,2024,22
2024-07-01,20240701,1,7,July,3,2024,27
2024-08-01,20240801,1,8,August,3,2024,31
2024-09-01,20240901,1,9,September,3,2024,35
2024-10-01,20241001,1,10,October,4,2024,40
2024-11-01,20241101,1,11,November,4,2024,44
2024-12-01,20241201,1,12,December,4,2024,48
2025-01-01,20250101,1,1,January,1,2025,1
2025-02-01,20250201,1,2,February,1,2025,5
2025-03-01,20250301,1,3,March,1,2025,9
2025-04-01,20250401,1,4,April,2,2025,14
2025-05-01,20250501,1,5,May,2,2025,18
2025-06-01,20250601,1,6,June,2,2025,22
2025-07-01,20250701,1,7,July,3,2025,27
2025-08-01,20250801,1,8,August,3,2025,31
2025-09-01,20250901,1,9,September,3,2025,36
2025-10-01,20251001,1,10,October,4,2025,40
2025-11-01,20251101,1,11,November,4,2025,44
2025-12-01,20251201,1,12,December,4,2025,49
2026-01-01,20260101,1,1,January,1,2026,1
2026-02-01,20260201,1,2,February,1,2026,5
2026-03-01,20260301,1,3,March,1,2026,9
2026-04-01,20260401,1,4,April,2,2026,14
2026-05-01,20260501,1,5,May,2,2026,18
2026-06-01,20260601,1,6,June,2,2026,23
2026-07-01,20260701,1,7,July,3,2026,27
2026-08-01,20260801,1,8,August,3,2026,31
2026-09-01,20260901,1,9,September,3,2026,36
2026-10-01,20261001,1,10,October,4,2026,40
2026-11-01,20261101,1,11,November,4,2026,44
2026-12-01,20261201,1,12,December,4,2026,49
